GE_latitude,GE_longitude,GE_City,GE_Count
-25.5852413,134.5041199,Australia,4
62.8329086,-95.9133224,Canada,1
36.5530853,103.9754333,China,42
64.2885818,25.9894028,Finland,1
46.6372795,2.3382623,France,2
51.2024651,10.3822031,Germany,1
39.6843719,21.8974094,Greece,1
47.1657333,19.4165745,Hungary,1
23.4060116,79.4580917,India,12
-1.2480891,115.4189987,Indonesia,5
36.2816467,139.0772705,Japan,34
49.7778816,6.0947461,Luxembourg,1
52.14785,19.3777599,Poland,1
36.0972404,127.5127029,South Korea,2
14.4845819,100.8519135,Thailand,4
39.0510101,34.9303398,Turkey,2
54.5608864,-2.2125118,United Kingdom,1
16.9404297,106.8164291,Vietnam,1
